SID,email,Last Name,First Name,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Total
0,,SOLUTION,SOLUTION,,,,,,,,,,,100
300773633,euhz6532@bogus.com,Tung,Mei,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,70
315500979,zqdk2609@bogus.com,Jen,You,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,70
317547296,ckrn7263@bogus.com,Chao,Yuan,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,60
319549896,ttqp9766@bogus.com,Meng,Huan Yue,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,80
320250819,tjxk6150@bogus.com,Shen,Hu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,60
326285587,isim6886@bogus.com,Hou,Lian,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,90
333306652,qvrr9413@bogus.com,Tuan,Jian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
360594548,euho9752@bogus.com,Hoy,Zachary,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,70
363393232,tdrv2640@bogus.com,Chin,Qiao,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,70
384087855,kjbc6748@bogus.com,Hsing,Manchu,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,80
388963652,tcnf7608@bogus.com,Cannan,Lily,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,40
394589352,ctfh9946@bogus.com,Manchee,Kate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
396913155,pzaz8370@bogus.com,Lin,Chung,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,60
