Identifier,Full name,Email address,Status,Grade,Maximum Grade,Grade can be changed,Last modified (submission),Last modified (grade)
Participant 10,Jian Tuan,qvrr9413@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:07 PM","Wednesday, 17 October 2018, 5:07 PM"
Participant 6,Huan Yue Meng,ttqp9766@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:08 PM","Wednesday, 17 October 2018, 5:08 PM"
Participant 9,Chung Lin,pzaz8370@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 5,Matthew Mueller,ucdx8510@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 1,Qiao Chin,tdrv2640@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 2,Lian Hou,isim6886@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 4,Manchu Hsing,kjbc6748@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 7,Mei Tung,euhz6532@bogus.com,No submission,,0,Yes,-,"Wednesday, 17 October 2018, 12:20 PM"
Participant 8,Yuan Chao,ckrn7263@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 3,Lily Cannan,tcnf7608@bogus.com,No submission,,0,Yes,-,"Thursday, 18 October 2018, 9:47 AM"
Participant 11,You Jen,zqdk2609@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:17 PM","Wednesday, 17 October 2018, 5:17 PM"
Participant 15,Oliver Arthur,olie8242@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:17 PM","Wednesday, 17 October 2018, 5:17 PM"
Participant 12,Kate Manchee,ctfh9946@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:17 PM","Wednesday, 17 October 2018, 5:17 PM"
Participant 14,Hu Shen,tjxk6150@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:17 PM","Wednesday, 17 October 2018, 5:17 PM"
Participant 13,Zachary Hoy,euho9752@bogus.com,Submitted for grading,,0,Yes,"Wednesday, 17 October 2018, 5:17 PM","Wednesday, 17 October 2018, 5:17 PM"
