SID,email,Surname,GivenName,MI,Gend,Prog,Enrolment Type,Att,SAT MT,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,MT_Total,Days online 2,Views 2,Contributions 2,Questions 2,Days online 3,Views 3,Contributions 3,Questions 3,Days online 4,Views 4,Contributions 4,Questions 4,Days online 5,Views 5,Contributions 5,Questions 5,Days online,Views,Contributions,Questions,Video_1_W2,Questions_1_W2,Correct_1_W2,Video_2_W2,Questions_2_W2,Correct_2_W2,Video_1_W3,Questions_1_W3,Correct_1_W3,Video_2_W3,Questions_2_W3,Correct_2_W3,Video_1_W4,Questions_1_W4,Correct_1_W4,Video_2_W4,Questions_2_W4,Correct_2_W4,Video_1_W5,Questions_1_W5,Correct_1_W5,Video_2_W5,Questions_2_W5,Correct_2_W5
322843525,ydtd7245@bogus.com,Aarons,Alica,A,female,FASS,International,Full Time,1,1,1,0,1,1,1,1,1,0,1,80,6,35,1,0,7,36,0,0,1,31,1,1,5,16,0,0,19,118,2,1,72.98641094,71.5912686,82.14550182,76.39097412,80.72724614,62.77631017,95.45164959,83.75779646,88.60996368,79.85192863,72.65762452,46.00617241,69.34876755,99.56334811,67.94229432,100,89.01926676,55.21828375,62.10241309,89.15739618,46.10714914,74.87729656,81.86395475,100
371945072,xyzi6346@bogus.com,Adey,Natasha,W,female,FASS,HECS,Full Time,1,0,0,0,0,1,1,1,0,0,0,30,0,8,0,0,1,8,1,0,0,0,1,1,4,5,1,1,5,21,3,2,47.96889189,60.42976993,28.06979133,0,23.50513505,0,40.11322768,34.62644727,0,48.53830595,20.64800777,58.8968459,30.27097102,20.19752103,15.54358456,43.37024453,56.79077379,30.14557996,25.92372468,24.40583222,97.14321598,30.90709016,30.72798658,58.37482281
362879625,qdwn2013@bogus.com,Allum,Gabrielle,A,female,FEIT,HECS,Full Time,1,0,0,1,1,1,0,0,1,1,1,60,4,17,0,0,7,0,1,0,0,17,1,0,0,26,1,1,11,60,3,1,70.26233733,61.73493151,73.13116383,66.68839944,62.04465355,80.76402367,71.40664915,76.8504839,24.91313776,56.41815985,55.86302215,100,76.33132897,63.35847145,61.43538415,50.61618544,79.19341951,66.47321042,74.30763588,56.11513766,100,48.93395759,52.72875525,38.91654454
301193640,mqvl9105@bogus.com,Andronicus,Jai,C,male,FEIT,Local,Full Time,1,0,0,0,1,1,1,0,0,1,0,40,0,0,2,1,7,2,2,1,2,10,1,1,0,18,1,0,9,30,6,3,38.62900821,37.70118427,11.78805155,58.3534423,50.84053728,18.1824588,66.82668653,41.4388179,31.98703131,56.00313361,26.99358996,12.62403188,37.95031301,32.10388238,92.69273232,50.44667116,34.36739534,35.90086978,31.77427173,41.42846976,46.02880747,21.40582752,29.34631765,0
362636796,lpps9402@bogus.com,Annand,Ethan,E,male,FEIT,International,Part Time,1,1,0,1,1,1,1,1,0,1,1,80,7,21,0,0,7,38,0,0,7,17,0,0,5,18,0,0,26,94,0,0,83.52567353,86.49617657,42.93666293,76.21985531,66.50300574,79.67252608,73.37184549,88.62760772,78.17930003,87.96115669,90.11896948,12.5288796,77.41520115,93.91962938,100,58.95667428,67.34177819,100,72.79285585,85.43312974,49.82403911,78.23313419,63.98510404,100
311347869,mynz2350@bogus.com,Arabanoo,Joseph,A,male,FEIT,HECS,Full Time,1,1,1,1,1,0,1,0,1,1,1,80,1,10,4,0,7,24,4,3,3,18,4,3,7,17,5,1,18,69,17,7,89.41775829,96.18421399,100,66.58566512,63.53299786,100,100,73.95057924,94.06875779,67.75587002,78.92182231,100,95.91564437,92.10226669,99.24532519,92.9477281,71.9066649,90.59513328,67.25261287,59.35314447,51.05147783,99.04277098,88.43555799,21.79962297
395317785,ramv5362@bogus.com,Ardill,Hunter,I,male,FASS,International,Full Time,1,0,1,0,0,1,1,1,0,0,0,40,0,7,0,0,0,19,0,0,4,9,0,0,1,26,0,0,5,61,0,0,41.04308174,21.27639281,23.15998712,46.74376166,44.57696614,37.0248975,43.40992588,47.41025284,64.09607656,23.47409839,22.04318285,27.62634939,44.8075865,19.74257589,42.8200115,60.46501462,33.50601269,100,58.82833145,2.610480922,35.82746219,17.41636906,48.9647284,41.68379281
352021858,gzcu5132@bogus.com,Arscott,Makayla,T,female,FEIT,HECS,Full Time,1,0,1,1,1,1,0,1,0,1,1,70,3,22,4,1,0,23,4,4,7,14,4,2,2,32,4,1,12,91,16,8,58.90567099,69.54937326,0,80.83620662,89.27040729,100,76.92307812,56.92127253,30.22467362,78.9295991,56.19282348,100,71.54691856,63.78301968,99.44022333,60.02318313,67.11040633,0,76.83630838,59.33729628,50.35936445,45.55649102,63.37858464,0
366209764,obhf1764@bogus.com,Arthur,Oliver,S,male,SMED,HECS,Full Time,1,0,1,1,1,1,1,0,0,1,1,70,0,8,4,4,3,9,4,0,3,27,3,0,7,35,5,5,13,79,16,9,38.27364355,57.14983617,69.55023548,46.69966367,59.37684932,56.62757679,68.39281938,49.22539295,85.55190449,82.24229707,63.51004055,30.67690941,85.16873202,81.9686654,94.61859302,70.29380379,85.47398499,78.58942571,84.17808631,66.33292333,78.88867676,51.27171842,68.52960063,10.38577968
390115143,whua6822@bogus.com,Ashby,Luca,C,male,FSCI,International,Full Time,1,0,1,1,1,1,0,1,1,1,0,70,1,22,0,0,4,46,1,1,5,22,0,0,4,63,0,0,14,153,1,1,94.2572923,79.40084084,66.12129852,54.94899565,88.89567586,22.41509661,64.7161258,86.54852787,78.55926774,65.33064405,47.23649582,63.71818343,96.69885283,64.97813015,56.11121658,96.68969615,65.30955121,92.38109813,48.79508365,73.66535009,21.70242681,60.02792532,65.81734661,43.20641612
316997921,izsq6221@bogus.com,Aunger,Laura,J,female,SMED,HECS,Full Time,1,1,0,1,0,0,0,1,1,1,1,60,2,17,1,0,0,17,3,2,7,4,1,0,3,38,1,1,12,76,6,3,68.35989728,53.14802383,45.17902781,37.73667589,70.15209491,100,29.46472913,71.25454733,100,75.26657265,67.53599318,19.97792024,35.27560942,46.48171319,30.21014952,83.10172609,62.34323936,51.806465,50.08736606,60.43356486,79.62256589,54.51623492,60.26042827,83.97135031
362880908,mvek7715@bogus.com,Babbidge,Brianna,J,female,SMED,HECS,Full Time,1,0,0,1,1,1,0,1,1,0,1,60,2,9,1,0,0,16,1,0,0,10,1,0,7,16,1,1,9,51,4,1,51.20222398,66.37164085,100,48.01097913,50.76539283,37.76656659,76.70035127,67.77047424,75.44619098,44.43780399,49.79156437,35.67567869,76.59404426,61.3295283,62.9183629,39.88578415,60.7568635,22.82536393,59.69137132,68.29147716,58.19816492,39.90150024,72.41711881,67.97405327
300874919,xbkj8997@bogus.com,Bainton,Ellie,N,female,FSCI,HECS,Part Time,1,0,0,1,0,1,1,1,1,1,1,70,5,28,3,1,1,16,3,2,3,17,2,2,5,9,2,0,14,70,10,5,69.06806918,47.3758643,28.30875753,80.77489704,90.01583282,100,48.05225526,63.09385024,62.25323171,72.92155625,67.35064624,80.24799101,77.1843306,67.15934843,69.33494719,71.65976854,76.64169309,0.489622483,49.78193,71.18407725,61.37050682,69.33317167,86.39709305,71.18863713
351643093,ykei1427@bogus.com,Baldessin,Abbey,G,female,FASS,HECS,Full Time,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,1,1,1,6,1,1,0,0,1,1,1,25,3,3,14.09983456,0,11.53215034,23.16204355,0,0,0,7.808420359,11.16070546,0,0,38.51682282,5.966197043,0,0,0,36.77200708,0.449961042,42.48152048,22.95375184,0,28.4521609,0,43.19840403
320830150,viuk6562@bogus.com,Balfe,Tyler,G,male,FSCI,International,Full Time,1,0,1,0,1,1,1,0,1,1,1,70,0,13,0,0,3,1,0,0,4,9,0,0,4,42,0,0,11,65,0,0,76.963635,88.75469877,72.89416457,88.27206501,56.93874603,0,60.81727884,71.23701509,90.93474742,90.84288528,60.09163739,27.7068382,61.35133561,61.63753308,74.30044238,59.07938852,57.542899,85.01161157,72.79831644,45.96666932,69.49018598,62.34259006,55.40516073,62.93238084
361398731,ikxw2632@bogus.com,Bannister,Brayden,C,male,FEIT,International,Part Time,1,1,0,1,0,1,0,0,0,1,1,50,0,13,0,0,4,44,0,0,0,9,0,0,3,26,0,0,7,92,0,0,60.95506649,45.95501795,26.93387585,41.40666339,56.91863004,94.97361349,16.397546,40.16199997,69.22621876,55.03438866,46.15704126,25.85642266,52.96875267,36.42094835,74.17236025,56.52279095,68.25974926,87.59927835,67.373001,63.15614708,37.41395608,44.04149297,65.24295323,20.02678285
397530334,qydx8635@bogus.com,Barff,Erin,A,female,FSCI,HECS,Full Time,1,1,0,0,0,1,1,1,0,1,1,60,0,4,1,0,3,12,0,0,0,0,1,1,0,9,1,1,3,25,3,2,53.56655557,52.9722793,96.94949816,75.53353052,39.09979232,9.023088255,57.59784779,73.53334569,0,52.42293372,52.43494526,57.47029875,83.99310096,60.75129675,100,70.15330131,75.81844143,70.46139766,63.86272349,54.91737122,69.16312738,62.89179273,49.96160776,61.70173689
