SID,email,Last Name,First Name,AQ01,AQ02,AQ03,AQ04,AQ05,AQ06,AQ07,AQ08,AQ09,AQ10,Total
0,,SOLUTION,SOLUTION,C,A,D,C,C,C,B,D,D,B,100
300773633,euhz6532@bogus.com,Jen,Jie,C,B,D,C,C,C,B,D,C,A,70
315500979,zqdk2609@bogus.com,Iredale,Flynn,C,C,D,C,D,C,B,D,D,A,70
317547296,ckrn7263@bogus.com,Prenzel,Blake,C,B,A,C,B,C,B,D,D,D,60
319549896,ttqp9766@bogus.com,Chien,Jin,C,D,D,C,C,C,B,D,A,B,80
320250819,tjxk6150@bogus.com,Tuan,Donglu,C,D,D,C,C,C,B,B,C,D,60
326285587,isim6886@bogus.com,Pan,Li Na,C,A,D,D,C,C,B,D,D,B,90
333306652,qvrr9413@bogus.com,Hung,Zhi,D,B,B,D,B,A,C,B,B,C,0
360594548,euho9752@bogus.com,Vida,Bailey,C,A,D,C,D,D,B,D,C,B,70
363393232,tdrv2640@bogus.com,Hague,Joel,B,C,D,D,C,C,B,D,D,B,70
384087855,kjbc6748@bogus.com,Chiang,Shing,C,A,D,C,D,C,B,C,D,B,80
388963652,tcnf7608@bogus.com,Magarey,Isabelle,C,C,A,B,C,C,C,D,A,A,40
394589352,ctfh9946@bogus.com,Yuan,Xiong,D,B,A,A,B,B,D,A,A,D,0
396913155,pzaz8370@bogus.com,Bray,Phoebe,C,A,A,B,C,C,A,B,D,B,60
