SID,email,Last Name,First Name,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Total
300773633,euhz6532@bogus.com,Jen,Jie,1,0,1,1,1,1,1,1,0,0,70
315500979,zqdk2609@bogus.com,Iredale,Flynn,1,0,1,1,0,1,1,1,1,0,70
317547296,ckrn7263@bogus.com,Prenzel,Blake,1,0,0,1,0,1,1,1,1,0,60
319549896,ttqp9766@bogus.com,Chien,Jin,1,0,1,1,1,1,1,1,0,1,80
320250819,tjxk6150@bogus.com,Tuan,Donglu,1,0,1,1,1,1,1,0,0,0,60
326285587,isim6886@bogus.com,Pan,Li Na,1,1,1,0,1,1,1,1,1,1,90
333306652,qvrr9413@bogus.com,Hung,Zhi,0,0,0,0,0,0,0,0,0,0,0
360594548,euho9752@bogus.com,Vida,Bailey,1,1,1,1,0,0,1,1,0,1,70
363393232,tdrv2640@bogus.com,Hague,Joel,0,0,1,0,1,1,1,1,1,1,70
384087855,kjbc6748@bogus.com,Chiang,Shing,1,1,1,1,0,1,1,0,1,1,80
388963652,tcnf7608@bogus.com,Magarey,Isabelle,1,0,0,0,1,1,0,1,0,0,40
394589352,ctfh9946@bogus.com,Yuan,Xiong,0,0,0,0,0,0,0,0,0,0,0
396913155,pzaz8370@bogus.com,Bray,Phoebe,1,1,0,0,1,1,0,0,1,1,60
