SID,email,Surname,GivenName,MiddleInitial,Gender,UOS Code,Program,Enrolment Type,Attendance
396913155,pzaz8370@bogus.com,Bray,Phoebe,C,female,ELON3509,FEIT,HECS,Full Time
330794979,olie8242@bogus.com,Chang,Lian,M,female,ELON3509,FSCI,International,Full Time
384087855,kjbc6748@bogus.com,Chiang,Shing,Y,male,ELON3509,FSCI,HECS,Full Time
319549896,ttqp9766@bogus.com,Chien,Jin,Y,male,ELON3509,FSCI,International,Full Time
363393232,tdrv2640@bogus.com,Hague,Joel,K,male,ELON3509,FSCI,International,Full Time
333306652,qvrr9413@bogus.com,Hung,Zhi,O,female,ELON3509,FASS,HECS,Full Time
315500979,zqdk2609@bogus.com,Iredale,Flynn,M,male,ELON3509,FSCI,HECS,Part Time
300773633,euhz6532@bogus.com,Jen,Jie,M,male,ELON3509,FSCI,HECS,Full Time
388963652,tcnf7608@bogus.com,Magarey,Isabelle,J,female,ELON3509,FASS,HECS,Full Time
326285587,isim6886@bogus.com,Pan,Li Na,Y,female,ELON3509,SMED,International,Full Time
317547296,ckrn7263@bogus.com,Prenzel,Blake,I,male,ELON3509,FEIT,International,Full Time
352120481,ucdx8510@bogus.com,Shao,Tain,L,male,ELON3509,FEIT,International,Full Time
320250819,tjxk6150@bogus.com,Tuan,Donglu,D,female,ELON3509,SMED,International,Full Time
360594548,euho9752@bogus.com,Vida,Bailey,C,male,ELON3509,SMED,Local,Full Time
394589352,ctfh9946@bogus.com,Yuan,Xiong,S,male,ELON3509,FASS,HECS,Full Time
