SID,email,Surname,GivenName,MiddleInitial,Gender,UOS Code,Program,Enrolment Type,Attendance,Pretest
322843525,ydtd7245@bogus.com,Aarons,Alica,A,female,ELON3509,FASS,International,Full Time,35
371945072,xyzi6346@bogus.com,Adey,Natasha,W,female,ELON3509,FASS,HECS,Full Time,76
362879625,qdwn2013@bogus.com,Allum,Gabrielle,A,female,ELON3509,FEIT,HECS,Full Time,32
301193640,mqvl9105@bogus.com,Andronicus,Jai,C,male,ELON3509,FEIT,Local,Full Time,53
362636796,lpps9402@bogus.com,Annand,Ethan,E,male,ELON3509,FEIT,International,Part Time,73
311347869,mynz2350@bogus.com,Arabanoo,Joseph,A,male,ELON3509,FEIT,HECS,Full Time,4
395317785,ramv5362@bogus.com,Ardill,Hunter,I,male,ELON3509,FASS,International,Full Time,63
352021858,gzcu5132@bogus.com,Arscott,Makayla,T,female,ELON3509,FEIT,HECS,Full Time,77
366209764,obhf1764@bogus.com,Arthur,Oliver,S,male,ELON3509,SMED,HECS,Full Time,1
390115143,whua6822@bogus.com,Ashby,Luca,C,male,ELON3509,FSCI,International,Full Time,67
316997921,izsq6221@bogus.com,Aunger,Laura,J,female,ELON3509,SMED,HECS,Full Time,40
362880908,mvek7715@bogus.com,Babbidge,Brianna,J,female,ELON3509,SMED,HECS,Full Time,98
300874919,xbkj8997@bogus.com,Bainton,Ellie,N,female,ELON3509,FSCI,HECS,Part Time,32
351643093,ykei1427@bogus.com,Baldessin,Abbey,G,female,ELON3509,FASS,HECS,Full Time,62
320830150,viuk6562@bogus.com,Balfe,Tyler,G,male,ELON3509,FSCI,International,Full Time,82
361398731,ikxw2632@bogus.com,Bannister,Brayden,C,male,ELON3509,FEIT,International,Part Time,34
397530334,qydx8635@bogus.com,Barff,Erin,A,female,ELON3509,FSCI,HECS,Full Time,80
355627475,afqd2069@bogus.com,Baylee,Anthony,L,male,ELON3509,FSCI,HECS,Full Time,4
395008714,smmb7292@bogus.com,Beach,Tahlia,R,female,ELON3509,FSCI,Local,Full Time,10
352717868,deso8187@bogus.com,Beeby,Callum,B,male,ELON3509,FEIT,HECS,Full Time,87
394589352,sgif8648@bogus.com,Belcher,Mackenzie,J,female,ELON3509,SMED,International,Full Time,32
351106233,oirx9268@bogus.com,Benstead,Caleb,E,male,ELON3509,FSCI,HECS,Full Time,2
324775672,sdwf2937@bogus.com,Blacklow,Brianna,B,female,ELON3509,SMED,HECS,Full Time,64
359936485,cudy8091@bogus.com,Bosch,Aidan,B,male,ELON3509,FEIT,International,Full Time,15
388434168,ijjl9090@bogus.com,Bowen,Zara,R,female,ELON3509,FASS,HECS,Full Time,74
383530460,tapk4544@bogus.com,Bracy,Stephanie,M,female,ELON3509,FASS,International,Full Time,28
336275645,ahhf8149@bogus.com,Bray,Phoebe,C,female,ELON3509,SMED,HECS,Full Time,9
376434716,thcy7615@bogus.com,Brock,Scarlett,A,female,ELON3509,FSCI,International,Full Time,73
386719553,futy6021@bogus.com,Buggy,Bella,K,female,ELON3509,FSCI,HECS,Part Time,78
377877923,hkfo5474@bogus.com,Bunny,Brayden,B,male,ELON3509,FEIT,International,Full Time,28
320834111,anrd9381@bogus.com,Burke,Abby,B,female,ELON3509,SMED,International,Full Time,4
345171616,xucy4880@bogus.com,Cannan,Lily,J,female,ELON3509,FASS,HECS,Full Time,52
369056671,homk4487@bogus.com,Challinor,Aaron,J,male,ELON3509,SMED,HECS,Full Time,63
336534413,abpz4394@bogus.com,Chang,Chow,C,female,ELON3509,SMED,International,Full Time,87
320264344,todd6458@bogus.com,Chang,Jiao,S,female,ELON3509,FEIT,International,Full Time,61
386943298,kznq6264@bogus.com,Chang,Lian,M,female,ELON3509,FASS,HECS,Part Time,39
345294497,fjpz7122@bogus.com,Chao,Yi Jie,K,female,ELON3509,FEIT,HECS,Full Time,97
382466249,kmaj7973@bogus.com,Chao,Li Na,F,female,ELON3509,FEIT,HECS,Full Time,60
344829895,wzft6457@bogus.com,Chao,Bao,D,male,ELON3509,FEIT,Local,Part Time,27
359392829,ysqt4818@bogus.com,Chao,Yuan,Q,female,ELON3509,FSCI,HECS,Full Time,72
347974564,bgcc1924@bogus.com,Chao,Li Qin,S,female,ELON3509,FSCI,HECS,Full Time,78
330625608,jeng1629@bogus.com,Chao,Yi,S,female,ELON3509,FEIT,Local,Full Time,89
300338811,vgjy9215@bogus.com,Chao,Shan,L,female,ELON3509,FSCI,Local,Full Time,31
358661964,schz7792@bogus.com,Chen,Qian,S,female,ELON3509,FEIT,International,Part Time,21
335319678,awah1260@bogus.com,Chen,Sheng,L,male,ELON3509,FSCI,HECS,Full Time,59
326091177,zubf4711@bogus.com,Chen,Hui Ying,P,female,ELON3509,SMED,Local,Full Time,85
387534083,equj8510@bogus.com,Cheng,Xiao Chen,Y,female,ELON3509,FEIT,HECS,Full Time,32
393239125,huwk6748@bogus.com,Chia,You,L,male,ELON3509,FEIT,HECS,Full Time,80
395491154,bzbu3935@bogus.com,Chia,Sun,F,male,ELON3509,FEIT,International,Full Time,64
353424637,sufd4890@bogus.com,Chia,Cai,G,female,ELON3509,FEIT,HECS,Full Time,7
356649617,jzjd5647@bogus.com,Chiang,Long,Q,male,ELON3509,SMED,HECS,Full Time,16
374721725,arrx7749@bogus.com,Chiang,Dan,H,female,ELON3509,FSCI,Local,Full Time,84
311149133,jwlu7043@bogus.com,Chiang,Shing,Y,male,ELON3509,SMED,HECS,Full Time,50
325406506,yzqg7510@bogus.com,Chidley,Abigail,M,female,ELON3509,FASS,HECS,Full Time,6
308196625,ceja6532@bogus.com,Chien,An,Y,male,ELON3509,FASS,International,Full Time,64
319755851,xady8203@bogus.com,Chien,Jin,Y,male,ELON3509,SMED,International,Full Time,3
358320296,upjw3838@bogus.com,Chien,Feng,F,male,ELON3509,FSCI,HECS,Full Time,47
363581197,cnxl2946@bogus.com,Chien,An,S,male,ELON3509,SMED,International,Part Time,47
384120798,tlpy7432@bogus.com,Chien,Chan Juan,Y,female,ELON3509,FEIT,HECS,Full Time,55
319786139,wmpt9464@bogus.com,Chien,Wen,D,male,ELON3509,FASS,HECS,Full Time,98
383405867,jitm4517@bogus.com,Chien,Shuang,S,female,ELON3509,SMED,International,Full Time,7
321425172,jbal4180@bogus.com,Chien,Li Wei,S,female,ELON3509,SMED,International,Full Time,22
340597167,foap2996@bogus.com,Chien,Ho,X,male,ELON3509,SMED,HECS,Full Time,36
339449881,bqtq4437@bogus.com,Chien,Na,Y,female,ELON3509,FEIT,HECS,Full Time,92
361895265,nhks8929@bogus.com,Chien,Chan Juan,A,female,ELON3509,FASS,International,Full Time,78
360883676,unkq4448@bogus.com,Chien,Chung,L,male,ELON3509,FEIT,HECS,Full Time,66
314296537,wdvr9630@bogus.com,Childers,Ethan,E,male,ELON3509,FASS,International,Full Time,31
378439037,ldnl1601@bogus.com,Chin,Qiao,S,female,ELON3509,FASS,International,Full Time,49
315017142,vxpl4750@bogus.com,Chin,Li Na,W,female,ELON3509,SMED,HECS,Full Time,93
381025641,lmud5451@bogus.com,Chin Kaw,Sebastian,C,male,ELON3509,FASS,HECS,Full Time,80
325761085,imzc4108@bogus.com,Chisholm,Michael,C,male,ELON3509,FSCI,International,Full Time,4
382189921,jtzw5740@bogus.com,Chiu,Jiao,P,female,ELON3509,SMED,HECS,Full Time,57
338287294,mcff5897@bogus.com,Chiu,Yi,G,female,ELON3509,SMED,International,Full Time,1
358129045,bbpj1606@bogus.com,Chiu,Wan,P,female,ELON3509,SMED,International,Full Time,15
394694330,qtzo2062@bogus.com,Chiu,Cong,M,male,ELON3509,FASS,HECS,Full Time,95
317664382,nqxc5666@bogus.com,Chou,Cui,J,female,ELON3509,FSCI,HECS,Full Time,21
309347060,yrje6623@bogus.com,Chu,Chi,Y,male,ELON3509,SMED,International,Full Time,23
337492136,pbxw9239@bogus.com,Chuang,Dong,F,male,ELON3509,FASS,Local,Part Time,33
397952384,kici3747@bogus.com,Chuang,Dong,Y,male,ELON3509,FASS,International,Full Time,90
341187832,fyso6201@bogus.com,Chuang,Ning,H,male,ELON3509,FSCI,HECS,Full Time,59
334259772,puoi7517@bogus.com,Chuang,Yong,R,male,ELON3509,SMED,HECS,Full Time,23
346918600,whmm2779@bogus.com,Chuang,Fen,C,female,ELON3509,FSCI,Local,Part Time,43
326285587,sjvk5689@bogus.com,Chuang,Xia,Y,female,ELON3509,FSCI,HECS,Full Time,23
366661480,izjz6212@bogus.com,Chung,Yun,D,female,ELON3509,SMED,International,Full Time,6
372972150,wppq5723@bogus.com,Chung,Lin Yao,G,female,ELON3509,FEIT,Local,Full Time,64
318458901,eang8107@bogus.com,Chung,Zhu,S,female,ELON3509,FSCI,HECS,Full Time,69
